DateTime,Open,High,Low,Close,Avg_Volume
2017-08-11 14:24,358.1,358.151,358.1,358.14,3239859
2017-08-11 14:25,358.11,358.22,358.11,358.22,3241664
2017-08-11 14:26,358.13,358.1395,357.93,357.99,3248916
2017-08-11 14:27,357.93,357.99,357.7679,357.87,3253710
2017-08-11 14:28,357.6683,357.84,357.6683,357.84,3256281
2017-08-11 14:29,357.62,357.8,357.62,357.73,3259509
2017-08-11 14:30,357.73,357.73,357.69,357.69,3261238
2017-08-11 14:31,357.69,357.88,357.69,357.79,3262621
2017-08-11 14:32,357.5038,357.7,357.45,357.45,3276238
2017-08-11 14:33,357.3,357.35,356.984,356.984,3287863
2017-08-11 14:34,356.98,357.12,356.81,356.81,3298229
2017-08-11 14:35,356.8,356.8,356.4,356.57,3306495
2017-08-11 14:36,356.29,356.4175,355.86,355.86,3319931
2017-08-11 14:37,355.77,356.15,355.751,356.15,3342917
2017-08-11 14:38,355.93,356.0782,355.92,355.92,3349917
2017-08-11 14:39,356.02,356.32,356.02,356.02,3356063
2017-08-11 14:40,356.056,356.91,356.056,356.79,3366819
2017-08-11 14:41,356.71,356.742,356.71,356.7265,3378655
2017-08-11 14:42,356.7,356.9899,356.7,356.9899,3382789
2017-08-11 14:43,357.0,357.1,356.8875,356.8875,3396113
2017-08-11 14:44,356.94,356.94,356.6076,356.6076,3406054
2017-08-11 14:45,356.7725,357.15,356.7725,357.15,3419818
2017-08-11 14:46,357.115,357.18,357.02,357.18,3428768
2017-08-11 14:47,357.2429,357.2429,357.05,357.24,3441034
